team_name,date,tmax,tmin,tdmean,tmean,heat_index
Minnesota Twins,2015-04-01,17.8700008392334,0.1599999964237213,-1.0700000524520874,9.01500041782856,7.27
Seattle Mariners,2015-04-01,12.260000228881836,6.409999847412109,4.46999979019165,9.335000038146973,8.2
San Francisco Giants,2015-04-01,16.309999465942383,11.25,6.920000076293945,13.779999732971191,12.87
Oakland Athletics,2015-04-01,19.270000457763672,10.670000076293945,6.309999942779541,14.970000267028809,14
Los Angeles Dodgers,2015-04-01,24.329999923706055,13.239999771118164,11.100000381469727,18.78499984741211,18.31
San Diego Padres,2015-04-01,20.020000457763672,15.699999809265137,12.210000038146973,17.860000133514404,17.52
Los Angeles Angels of Anaheim,2015-04-01,23.25,13.5600004196167,11.65999984741211,18.40500020980835,18
Houston Astros,2015-04-01,28.329999923706055,17.59000015258789,17.969999313354492,22.960000038146973,23.23
Texas Rangers,2015-04-01,28.290000915527344,17.829999923706055,16.309999465942383,23.0600004196167,23.14
Arizona Diamondbacks,2015-04-01,34.06999969482422,18.829999923706055,1.5399999618530273,26.449999809265137,25.67
Colorado Rockies,2015-04-01,25.6299991607666,6,-5.909999847412109,15.8149995803833,14.03
Kansas City Royals,2015-04-01,24.68000030517578,10.100000381469727,0.20000000298023224,17.390000343322754,16
St. Louis Cardinals,2015-04-01,23.5,6.309999942779541,2.1500000953674316,14.90499997138977,13.56
Milwaukee Brewers,2015-04-01,12.779999732971191,0.12999999523162842,-0.23999999463558197,6.45499986410141,4.79
Chicago White Sox,2015-04-01,10.979999542236328,4.119999885559082,0.7400000095367432,7.549999713897705,5.99
Chicago Cubs,2015-04-01,10.979999542236328,3.069999933242798,1.159999966621399,7.024999737739563,5.52
Cleveland Indians,2015-04-01,8.430000305175781,-0.10999999940395355,-1.3600000143051147,4.160000152885914,4.16
Pittsburgh Pirates,2015-04-01,14.220000267028809,-2.380000114440918,-2.75,5.920000076293945,3.98
Detroit Tigers,2015-04-01,7.909999847412109,0.47999998927116394,-0.4399999976158142,4.194999918341637,4.19
Cincinnati Reds,2015-04-01,20.450000762939453,0.4000000059604645,1.0399999618530273,10.425000384449959,8.9
Tampa Bay Rays,2015-04-01,25.059999465942383,19.020000457763672,16.920000076293945,22.039999961853027,22.2
Miami Marlins,2015-04-01,26.360000610351563,16.700000762939453,13.3100004196167,21.530000686645508,21.29
Atlanta Braves,2015-04-01,23.549999237060547,9.800000190734863,11.239999771118164,16.674999713897705,16.24
Washington Nationals,2015-04-01,21.459999084472656,2.240000009536743,0.25999999046325684,11.8499995470047,10.27
New York Mets,2015-04-01,7.769999980926514,0.75,-2.630000114440918,4.259999990463257,4.26
New York Yankees,2015-04-01,7.800000190734863,0.6899999976158142,-2.7699999809265137,4.245000094175339,4.24
Philadelphia Phillies,2015-04-01,14.25,0.7699999809265137,-1.7899999618530273,7.509999990463257,5.68
Baltimore Orioles,2015-04-01,19.06999969482422,1.9299999475479126,-1.100000023841858,10.499999821186066,8.78
Boston Red Sox,2015-04-01,9.350000381469727,-1.4600000381469727,-7.880000114440918,3.945000171661377,3.94
Minnesota Twins,2015-04-02,27.5,7.619999885559082,3.8399999141693115,17.55999994277954,16.43
Seattle Mariners,2015-04-02,12.600000381469727,6.010000228881836,4.050000190734863,9.305000305175781,8.12
San Francisco Giants,2015-04-02,14.989999771118164,9.449999809265137,4.630000114440918,12.21999979019165,11.07
Oakland Athletics,2015-04-02,17.68000030517578,7.78000020980835,3.619999885559082,12.730000257492065,11.47
Los Angeles Dodgers,2015-04-02,24.5,12.850000381469727,8.699999809265137,18.675000190734863,17.97
San Diego Padres,2015-04-02,21.110000610351563,15.5,11.569999694824219,18.30500030517578,17.89
Los Angeles Angels of Anaheim,2015-04-02,24.100000381469727,13.010000228881836,9.479999542236328,18.55500030517578,17.92
Houston Astros,2015-04-02,26,20.149999618530273,19.610000610351562,23.074999809265137,23.55
Texas Rangers,2015-04-02,26.559999465942383,19.360000610351563,17.459999084472656,22.960000038146973,23.17
Arizona Diamondbacks,2015-04-02,31.93000030517578,17.639999389648437,-0.6100000143051147,24.78499984741211,23.81
Colorado Rockies,2015-04-02,20.360000610351563,2.690000057220459,-2.1600000858306885,11.52500033378601,9.75
Kansas City Royals,2015-04-02,26.239999771118164,13.260000228881836,11.5600004196167,19.75,19.33
St. Louis Cardinals,2015-04-02,24.860000610351563,10.380000114440918,6.199999809265137,17.62000036239624,16.68
Milwaukee Brewers,2015-04-02,17.81999969482422,1.8200000524520874,1.3899999856948853,9.819999873638153,8.32
Chicago White Sox,2015-04-02,22.219999313354492,7.070000171661377,1.1299999952316284,14.644999742507935,13.21
Chicago Cubs,2015-04-02,21.90999984741211,6.159999847412109,2.0799999237060547,14.03499984741211,12.66
Cleveland Indians,2015-04-02,12.949999809265137,2.690000057220459,-0.9300000071525574,7.819999933242798,6.08
Pittsburgh Pirates,2015-04-02,14.399999618530273,-1.3899999856948853,-4.099999904632568,6.504999816417694,4.44
Detroit Tigers,2015-04-02,14.170000076293945,1.600000023841858,1.1299999952316284,7.885000050067902,6.36
Cincinnati Reds,2015-04-02,19.459999084472656,2.2200000286102295,-0.25999999046325684,10.839999556541443,9.19
Tampa Bay Rays,2015-04-02,26.329999923706055,19.309999465942383,16.229999542236328,22.81999969482422,22.9
Miami Marlins,2015-04-02,27.719999313354492,18.270000457763672,15.210000038146973,22.994999885559082,22.96
Atlanta Braves,2015-04-02,26.06999969482422,12.390000343322754,9.369999885559082,19.230000019073486,18.59
